# SHYFEM's output SHY files (.shy) are characterized by a particular nodes'
# numbering, which is different from that characterizing the related NetCDF
# files, obtained by converting SHY files through the "shyelab" tool.
# Therefore, it can be useful to know the correspondence between the SHY and
# NetCDF nodes' numbering.
#
# This CSV (.csv) file contains this correspondence, for the North Adriatic
# unstructured mesh ("mesh_nadri-mg_33100"; 18311 nodes, 33100 elements),
# which was provided by Christian Ferrarin (CNR-ISMAR).
#
# SHY_node_ID;NetCDF_node_ID
1;14320
2;14503
3;14321
4;14502
5;14356
6;14146
7;14355
8;14145
9;14177
10;14353
11;14176
12;14014
13;14013
14;14174
15;14010
16;13867
17;13868
18;13728
19;13726
20;14012
21;13869
22;13866
23;13865
24;13725
25;13724
26;13723
27;13722
28;13578
29;13576
30;13574
31;13573
32;8766
33;8624
34;8625
35;8769
36;8626
37;8915
38;8918
39;8333
40;8189
41;8188
42;8330
43;8332
44;8473
45;8331
46;8474
47;8476
48;8475
49;8629
50;8630
51;8477
52;8631
53;8778
54;8776
55;8929
56;8775
57;8928
58;8774
59;8773
60;9086
61;8926
62;8927
63;9087
64;9244
65;9241
66;9402
67;9396
68;9552
69;9556
70;9718
71;9723
72;9909
73;9910
74;9088
75;8628
76;8632
77;8779
78;8931
79;8777
80;8919
81;8924
82;8923
83;8930
84;9089
85;9245
86;9401
87;9085
88;8925
89;9090
90;9076
91;9243
92;9231
93;9246
94;9242
95;9398
96;9403
97;9400
98;9555
99;9557
100;9722
101;9724
102;9920
103;10120
104;9384
105;9233
106;9386
107;9397
108;9537
109;9399
110;9538
111;9554
112;9543
113;9558
114;9708
115;9725
116;9897
117;9923
118;9900
119;9924
120;10108
121;10141
122;10139
123;10347
124;10317
125;10523
126;10518
127;10735
128;10736
129;10733
130;10965
131;10732
132;10734
133;10963
134;10964
135;11192
136;11191
137;10962
138;10779
139;11009
140;11008
141;10562
142;10778
143;11007
144;11006
145;10777
146;11005
147;11003
148;10775
149;10774
150;10558
151;10557
152;10349
153;10346
154;10142
155;10140
156;10137
157;9921
158;9922
159;10561
160;10559
161;10348
162;9726
163;9721
164;9553
165;13077
166;12917
167;12902
168;13090
169;13079
170;12903
171;13249
172;13263
173;13091
174;13428
175;13575
176;13705
177;13845
178;13985
179;14144
180;14322
181;14323
182;14505
183;14324
184;14507
185;14326
186;14506
187;14509
188;14510
189;13250
190;13251
191;13080
