# ************************
# * LIST OF SIMULATIIONS *
# ************************
# This file is aimed at containing the list of all the simulations performed in
# the frame of the AdriaClim INTERREG IT-HR project, by ARPA FVG (PP11).
# Each new simulation has to be added to the list below, in ascending order of
# identification code ("ID"), by providing the full path of its associated README
# file ("Linked descriptive file") and status ("Status"). Moreover, to
# facilitate the handover between multiple users, leave a note ("Notes").
#
# A brief description of the attributable status is provided below:
#  - "A" = the simulation run successfully till the end, hence it is
#          available;
#  - "C" = the pre-processing phase (e.g. preparation of input data files)
#          is completed. The simulation is ready to be run;
#  - "E" = the simulation has been erased;
#  - "P" = the pre-processing phase (e.g. preparation of input data files)
#          is in progress. The simulation is not ready to be run yet;
#  - "R" = the simulation is running, hence it is not available yet.
#
# To better understand how to proceed, read the README file belonging to this
# directory
# ************************
ID;Linked descriptive file;Status (A=available, C=pre-processing phase completed, E=erased, P=pre-processing phase, R=running);Notes
1995F100A0_0001;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A0_0001/README;A;
1995F100A0_0002;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A0_0002/README;A;
1995F100A0_0003;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A0_0003/README;A;
1995F100A0_0004;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A0_0004/README;A;
1995F100A1_A001;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A001/README;A;
1995F100A1_A002;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A002/README;A;
1995F100A1_A003;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A003/README;A;
1995F100A1_A004;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A004/README;A;
1995F100A1_A005;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A005/README;A;
1995F100A1_A006;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A006/README;A;
1995F100A1_A007;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A007/README;A;
1995F100A1_A008;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A008/README;A;
1995F100A1_A009;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A009/README;A;
1995F100A1_A010;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A010/README;A;
1995F100A1_A011;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A011/README;A;
1995F100A1_A012;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A012/README;A;
1995F100A1_A013;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A013/README;A;
1995F100A1_A014;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A014/README;A;
1995F100A1_A015;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A015/README;A;
1995F100A1_A016;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A016/README;A;
1995F100A1_A017;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A017/README;A;
1995F100A1_A018;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A018/README;A;
1995F100A1_A019;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A019/README;A;
1995F100A1_A020;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A020/README;A;
1995F100A1_A021;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A021/README;A;
1995F100A1_A022;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A022/README;A;
1995F100A1_A023;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A023/README;A;
1995F100A1_A024;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100A1_A024/README;A;
1995F100D0_AB01;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100D0_AB01/README;A;
1995F100D0_AB02;/lustre/arpa/AdriaClim/data/shyfem_outputs/1995F100D0_AB02/README;A;
