A02356109;45.67;45.73;13.57;13.63;Staranzano;s;1
A02356109;45.67;45.73;13.57;13.63;Staranzano;s;7
A02356109;45.67;45.73;13.57;13.63;Staranzano;s;13
A02356109;45.67;45.73;13.57;13.63;Staranzano;s;19
A02456109;45.58;45.66;13.15;13.23;Lignano;s;1
A02456109;45.58;45.66;13.15;13.23;Lignano;s;7
A02456109;45.58;45.66;13.15;13.23;Lignano;s;13
A02456109;45.58;45.66;13.15;13.23;Lignano;s;19
A02456109;45.63;45.70;13.48;13.55;Grado;s;1
A02456109;45.63;45.70;13.48;13.55;Grado;s;7
A02456109;45.63;45.70;13.48;13.55;Grado;s;13
A02456109;45.63;45.70;13.48;13.55;Grado;s;19
A02456109;45.58;45.65;13.65;13.72;Servola;s;1
A02456109;45.58;45.65;13.65;13.72;Servola;s;7
A02456109;45.58;45.65;13.65;13.72;Servola;s;13
A02456109;45.58;45.65;13.65;13.72;Servola;s;19
A32256109;45.40;45.81;13.0;13.80;ContourVelGMT;r;1;1
A32256109;45.40;45.81;13.0;13.80;ContourVelGMT;r;1;4
A42456109;45.63;45.80;13.48;13.77;Staranzano;s;1;1
A42456109;45.63;45.80;13.48;13.77;Staranzano;s;7;1
A42456109;45.63;45.80;13.48;13.77;Staranzano;s;13;1
A42456109;45.63;45.80;13.48;13.77;Staranzano;s;19;1
A42456109;45.63;45.80;13.48;13.77;Staranzano;s;1;3
A42456109;45.63;45.80;13.48;13.77;Staranzano;s;7;3
A42456109;45.63;45.80;13.48;13.77;Staranzano;s;13;3
A42456109;45.63;45.80;13.48;13.77;Staranzano;s;19;3
A42456109;45.63;45.80;13.48;13.77;Staranzano;s;1;4
A42456109;45.63;45.80;13.48;13.77;Staranzano;s;7;4
A42456109;45.63;45.80;13.48;13.77;Staranzano;s;13;4
A42456109;45.63;45.80;13.48;13.77;Staranzano;s;19;4
A42456109;45.51;45.72;13.07;13.33;Lignano;s;1;1
A42456109;45.51;45.72;13.07;13.33;Lignano;s;7;1
A42456109;45.51;45.72;13.07;13.33;Lignano;s;13;1
A42456109;45.51;45.72;13.07;13.33;Lignano;s;19;1
A42456109;45.51;45.72;13.07;13.33;Lignano;s;1;3
A42456109;45.51;45.72;13.07;13.33;Lignano;s;7;3
A42456109;45.51;45.72;13.07;13.33;Lignano;s;13;3
A42456109;45.51;45.72;13.07;13.33;Lignano;s;19;3
A42456109;45.51;45.72;13.07;13.33;Lignano;s;1;5
A42456109;45.51;45.72;13.07;13.33;Lignano;s;7;5
A42456109;45.51;45.72;13.07;13.33;Lignano;s;13;5
A42456109;45.51;45.72;13.07;13.33;Lignano;s;19;5
A42456109;45.55;45.74;13.38;13.62;Grado;s;1;1
A42456109;45.55;45.74;13.38;13.62;Grado;s;7;1
A42456109;45.55;45.74;13.38;13.62;Grado;s;13;1
A42456109;45.55;45.74;13.38;13.62;Grado;s;19;1
A42456109;45.55;45.74;13.38;13.62;Grado;s;1;3
A42456109;45.55;45.74;13.38;13.62;Grado;s;7;3
A42456109;45.55;45.74;13.38;13.62;Grado;s;13;3
A42456109;45.55;45.74;13.38;13.62;Grado;s;19;3
A42456109;45.55;45.74;13.38;13.62;Grado;s;1;5
A42456109;45.55;45.74;13.38;13.62;Grado;s;7;5
A42456109;45.55;45.74;13.38;13.62;Grado;s;13;5
A42456109;45.55;45.74;13.38;13.62;Grado;s;19;5
A47896584;45.55;45.73;13.55;13.80;Servola;s;1;1
A47896584;45.55;45.73;13.55;13.80;Servola;s;7;1
A47896584;45.55;45.73;13.55;13.80;Servola;s;13;1
A47896584;45.55;45.73;13.55;13.80;Servola;s;19;1
A47896584;45.55;45.73;13.55;13.80;Servola;s;1;3
A47896584;45.55;45.73;13.55;13.80;Servola;s;7;3
A47896584;45.55;45.73;13.55;13.80;Servola;s;13;3
A47896584;45.55;45.73;13.55;13.80;Servola;s;19;3
A47896584;45.55;45.73;13.55;13.80;Servola;s;1;6
A47896584;45.55;45.73;13.55;13.80;Servola;s;7;6
A47896584;45.55;45.73;13.55;13.80;Servola;s;13;6
A47896584;45.55;45.73;13.55;13.80;Servola;s;19;6
